# STAR T-pose vertices
# Vertex count: 6890
# Format: x y z
0.046797 0.502504 0.084920
0.041622 0.489414 0.095094
0.052771 0.484413 0.086482
0.058345 0.493572 0.075417
0.049378 0.476297 0.094547
0.039114 0.478515 0.101435
0.060016 0.476845 0.077315
0.065326 0.482252 0.065878
0.066428 0.439284 0.072031
0.070759 0.433336 0.063076
0.069963 0.446100 0.062300
0.064719 0.448681 0.071204
0.065887 0.412740 0.072780
0.059611 0.404828 0.082822
0.062185 0.393871 0.074422
0.067305 0.401169 0.063440
0.026135 0.422582 0.104505
0.031792 0.415675 0.104485
0.035669 0.422325 0.102083
0.029418 0.428397 0.102095
0.016932 0.433825 0.109543
0.018238 0.438831 0.105136
0.013339 0.443619 0.110011
0.012855 0.438027 0.115446
0.020680 0.417223 0.106158
0.026873 0.409885 0.106047
0.021427 0.428753 0.105278
0.019397 0.424706 0.108583
0.016185 0.420322 0.120670
0.017906 0.424969 0.118317
0.014273 0.427083 0.124903
0.012924 0.421474 0.125320
0.019259 0.417841 0.111219
0.019800 0.421488 0.113566
0.017225 0.417960 0.116673
0.015745 0.415124 0.113946
0.016299 0.429952 0.113390
0.013150 0.433036 0.120181
0.008876 0.435571 0.127048
0.009739 0.427883 0.131987
0.042984 0.400698 0.100245
0.037884 0.408463 0.103285
0.032925 0.403416 0.105305
0.037819 0.397263 0.103095
0.017102 0.411389 0.110998
0.021069 0.394778 0.114164
0.021416 0.398937 0.113772
0.015124 0.400493 0.117806
0.015430 0.396592 0.118005
0.048125 0.384683 0.093201
0.042355 0.383984 0.098571
0.042724 0.376662 0.096763
0.048188 0.375893 0.090583
0.040610 0.370673 0.096798
0.046530 0.367507 0.088823
0.036899 0.352930 0.092072
0.041984 0.359400 0.090288
0.036470 0.364836 0.098478
0.030982 0.359876 0.102536
0.018448 0.365583 0.110920
0.012237 0.364759 0.114260
0.016935 0.352064 0.113807
0.023979 0.355085 0.108884
0.020154 0.387600 0.110472
0.024244 0.387214 0.107572
0.025044 0.389331 0.109750
0.020746 0.391049 0.112992
0.028200 0.386722 0.105615
0.029940 0.386431 0.104891
0.029725 0.387917 0.106079
0.028127 0.387464 0.106191
0.026085 0.387135 0.106785
0.024882 0.385233 0.107300
0.027202 0.385942 0.106115
0.021150 0.384783 0.110275
0.008066 0.383891 0.119283
0.012164 0.383994 0.117691
0.010944 0.388813 0.116101
0.007400 0.389049 0.117385
0.027998 0.390004 0.107653
0.030950 0.391886 0.107039
0.027099 0.395285 0.110161
0.025775 0.392260 0.109986
0.033822 0.393894 0.106117
0.032126 0.389117 0.105197
0.035370 0.389863 0.103989
0.029263 0.384615 0.104903
0.032087 0.382783 0.103390
0.032840 0.385618 0.104386
0.029909 0.379474 0.104231
0.026623 0.382763 0.106163
0.022974 0.381226 0.109272
0.018292 0.379979 0.113250
0.020721 0.374680 0.110488
0.025948 0.376693 0.106954
0.029226 0.399302 0.108406
0.037023 0.384789 0.102025
0.040345 0.391296 0.100571
0.036787 0.379763 0.101240
0.034597 0.375134 0.101556
0.030372 0.371119 0.103578
0.024627 0.367997 0.107168
0.019061 0.342199 0.103584
0.028081 0.346724 0.098837
0.036764 0.470817 0.100121
0.045565 0.469430 0.096792
0.045942 0.460959 0.093312
0.047786 0.463213 0.092731
0.042492 0.465252 0.096154
0.041867 0.462316 0.095807
0.058967 0.451393 0.077185
0.054283 0.453885 0.081922
0.054561 0.449897 0.081000
0.060593 0.444623 0.077417
0.047197 0.443090 0.089396
0.051495 0.443930 0.085823
0.047752 0.450972 0.087823
0.044686 0.450434 0.090606
0.040942 0.450341 0.092846
0.036725 0.450785 0.094326
0.037001 0.445173 0.094216
0.042091 0.443784 0.092355
0.035871 0.466663 0.097497
0.028574 0.466174 0.097438
0.029952 0.462977 0.096843
0.036181 0.463289 0.097434
0.019565 0.456157 0.092716
0.020763 0.458765 0.093332
0.017160 0.460415 0.094524
0.016414 0.455829 0.094452
0.018814 0.452680 0.094829
0.020918 0.454430 0.093323
0.039240 0.524211 0.080712
0.033083 0.508319 0.092693
0.054139 0.515765 0.070550
0.064256 0.502922 0.061006
0.070873 0.487761 0.052783
0.055146 0.388232 0.084712
0.056417 0.378489 0.079747
0.063955 0.384016 0.066321
0.062057 0.373323 0.063202
0.054153 0.367879 0.077797
0.040235 0.348908 0.078827
0.048808 0.357343 0.077479
0.057048 0.362745 0.059729
0.065203 0.372900 0.042160
0.067945 0.381192 0.048453
0.069312 0.386795 0.027103
0.061634 0.364294 0.032688
0.067025 0.384626 0.018557
0.044259 0.329245 0.040555
0.046320 0.316064 0.037582
0.057345 0.322492 0.023394
0.056373 0.334456 0.026356
0.069011 0.390421 0.054747
0.071995 0.455559 0.053660
0.067454 0.457147 0.064694
0.074068 0.442282 0.051637
0.074357 0.513462 0.026591
0.069715 0.510179 0.044949
0.076578 0.493527 0.039882
0.080454 0.498153 0.023424
0.046330 0.549143 0.031693
0.044498 0.539218 0.058927
0.057650 0.526869 0.052334
0.061243 0.534467 0.029954
0.082223 0.498398 0.008755
0.082840 0.496762 -0.009705
0.078265 0.512454 -0.017947
0.076659 0.515807 0.004808
0.066631 0.531822 -0.027435
0.064626 0.536657 0.000682
0.063537 0.368256 0.011402
0.065154 0.387460 0.005490
0.056108 0.348389 0.030887
0.062315 0.351931 0.013827
0.048567 0.547222 -0.034031
0.046894 0.553684 -0.000867
0.070622 0.468690 -0.056699
0.073960 0.487119 -0.049654
0.079954 0.476176 -0.032623
0.077402 0.460796 -0.040787
0.060221 0.476206 -0.072970
0.063098 0.498487 -0.065828
0.058304 0.412846 -0.049942
0.051210 0.396143 -0.040941
0.042407 0.396924 -0.053672
0.048624 0.412942 -0.065085
0.056345 0.471652 0.086812
0.051854 0.466473 0.091656
0.055603 0.462577 0.085935
0.060205 0.465391 0.079733
0.064325 0.467581 0.069977
0.069088 0.469581 0.058439
0.077866 0.478802 0.033595
0.082021 0.484518 0.019761
0.084310 0.483272 -0.005834
0.083914 0.484893 0.008448
0.082044 0.464434 -0.023371
0.079908 0.454681 -0.028486
0.064172 0.396761 -0.012107
0.061064 0.374326 -0.007334
0.054346 0.377009 -0.022491
0.057737 0.396821 -0.027945
0.037513 0.379430 -0.044969
0.045737 0.378497 -0.034460
0.059356 0.340534 -0.004824
0.059929 0.326479 -0.007915
0.055001 0.329287 -0.024143
0.053226 0.342711 -0.020438
0.047855 0.329190 -0.037475
0.037688 0.328482 -0.046818
0.036530 0.343846 -0.044029
0.044849 0.344132 -0.033877
0.020975 0.308652 0.054229
0.022569 0.298125 0.050964
0.035690 0.300771 0.044871
0.032822 0.312298 0.047193
0.062371 0.315005 -0.012720
0.058528 0.319152 -0.029316
0.064771 0.413101 -0.034643
0.069032 0.415208 -0.022684
0.051821 0.318469 -0.043033
0.044726 0.360000 -0.032107
0.053150 0.357976 -0.020249
0.027090 0.380057 -0.054086
0.030520 0.396873 -0.064491
0.023609 0.433723 0.102510
0.026904 0.448713 0.095173
0.027588 0.452571 0.094770
0.023669 0.453537 0.094100
